,,Reg.,Mid.,Pre.,timeReg,timeMid,timePre
1,Marathon Corunna, $4.09 ,,,27-Mar,,
2,Speedway Miller, $4.14 ,,,27-Mar,,
3,Marathon Coldwater, $4.10 , $4.50 , $4.90 ,28-Mar,28-Mar,28-Mar
4,Sunoco Washington Ctr., $4.10 , $4.45 , $4.91 ,28-Mar,28-Mar,28-Mar
5,Shell Goshen, $4.17 ,,,28-Mar,,
6,Speedway LaPorte, $4.40 , $4.75 , $4.90 ,28-Mar,28-Mar,28-Mar
7,Marathon Coldwater, $4.00 , $4.40 , $4.80 ,3-Apr,3-Apr,3-Apr
8,Sunoco Washington Ctr., $4.00 , $4.35 , $4.65 ,3-Apr,3-Apr,3-Apr
9,Shell Goshen, $4.05 ,,,3-Apr,,
10,Speedway LaPorte, $4.40 , $4.75 , $5.00 ,3-Apr,3-Apr,3-Apr
11,Shell Porter, $4.28 , $4.92 , $5.52 ,3-Apr,3-Apr,3-Apr
12,Marathon Coldwater, $3.96 , $4.39 , $4.79 ,11-Apr,11-Apr,11-Apr
13,Sunoco Washington Ctr., $3.85 , $4.20 , $4.53 ,11-Apr,11-Apr,11-Apr
14,Shell Goshen, $4.05 ,,,11-Apr,,
15,Speedway LaPorte, $4.26 , $4.51 , $4.76 ,11-Apr,11-Apr,11-Apr
16,Shell Porter, $4.26 , $4.92 , $5.52 ,11-Apr,11-Apr,11-Apr
17,Marathon Coldwater, $3.80 ,,,14-Apr,,
18,Sunoco Washington Ctr., $3.80 , $4.20 , $4.63 ,14-Apr,13-Apr,13-Apr
19,Shell Goshen, $3.89 ,,,14-Apr,,
20,Speedway LaPorte, $4.10 , $4.75 , $5.00 ,14-Apr,14-Apr,14-Apr
21,Shell Porter, $4.20 , $4.92 , $5.52 ,14-Apr,14-Apr,14-Apr
22,Marathon Coldwater, $3.80 , $4.20 , $4.60 ,21-Apr,21-Apr,21-Apr
23,Sunoco Washington Ctr., $4.00 , $4.35 , $4.88 ,21-Apr,21-Apr,20-Apr
24,Shell Goshen, $3.89 ,,,17-Apr,,
25,Speedway LaPorte, $4.00 , $4.26 , $4.80 ,21-Apr,21-Apr,21-Apr
26,Shell Porter, $4.23 , $4.92 , $5.52 ,21-Apr,21-Apr,21-Apr
27,Speedway Miller, $3.80 , $4.10 , $4.40 ,21-Apr,21-Apr,21-Apr
28,Marathon Coldwater, $4.59 , $4.99 ,,11-Jul,11-Jul,
29,Sunoco Washington Ctr., $4.60 , $4.95 , $5.25 ,12-Jul,12-Jul,12-Jul
30,Shell Goshen, $4.79 ,,,9-Jul,,
31,Speedway LaPorte, $4.60 , $5.60 , $6.00 ,12-Jul,12-Jul,12-Jul
32,Shell Porter, $4.58 , $5.00 , $5.98 ,12-Jul,12-Jul,12-Jul
33,Speedway Miller, $4.70 , $5.10 , $5.40 ,12-Jul,11-Jul,12-Jul
34,Marathon Coldwater, $4.56 , $4.96 , $5.36 ,14-Jul,14-Jul,14-Jul
35,Sunoco Washington Ctr., $4.56 ,,,14-Jul,,
36,Shell Goshen, $4.65 , $5.19 ,,13-Jul,10-Jul,
37,Speedway LaPorte, $4.60 , $5.60 , $6.00 ,14-Jul,14-Jul,14-Jul
38,Shell Porter, $4.58 , $5.00 , $5.98 ,14-Jul,14-Jul,13-Jul
39,Speedway Miller, $4.59 , $5.00 , $5.30 ,14-Jul,14-Jul,14-Jul
40,Marathon Coldwater, $4.49 , $4.89 , $5.29 ,15-Jul,15-Jul,15-Jul
41,Sunoco Washington Ctr., $4.50 , $4.91 , $5.19 ,15-Jul,13-Jul,13-Jul
42,Shell Goshen, $4.55 ,,,15-Jul,,
43,Speedway LaPorte, $4.62 , $4.92 ,,15-Jul,15-Jul,
44,Shell Porter, $4.58 , $5.00 ,,15-Jul,15-Jul,
45,Speedway Miller, $4.59 ,,,15-Jul,,
46,Marathon Corunna, $4.54 , $5.09 ,5.49,15-Jul,15-Jul,15-Jul
